음낭 부종: 음낭 팽창, 음낭 종양, 고환 부어있음, 고환 종양, 고환 부종
염증 장애에 따라 다양: 염증 반응 다양성, 염증 증상 다양성, 다양한 염증 증세, 염증 변이, 염증 현상 다양
배뇨장애: 소변 문제, 소변 제어 어려움, 소변 방출 이상, 배뇨 기능 이상, 소변 배출 문제
혈소판감소: 혈소판 감소증, 혈소판 부족, 혈소판 수 감소, 혈소판 감소 상태, 혈소판 부족증
신부전: 신장 기능 저하, 신장 기능 손상, 신장 기능 약화, 신장 기능 감퇴, 신장 기능 부전
괄약근 기능 이상: 짧은 근육 이상, 괄약근 기능 장애, 괄약근 이상 동작, 짧은 근육 이상증, 괄약근 이상 증세
수정체 이상: 관절 이상, 관절 기능 이상, 관절 문제, 관절 이상증, 관절 이상 상태
피가 정액에 나옴: 정액에 혈이 섞임, 정액에 혈관이 나옴, 정액 혈관 출혈, 정액 혈변, 정액 혈혈전
반신마비: 절반 몸 마비, 반쪽 마비, 절반 마비, 허반 마비, 반쪽 마비증
피부소양감: 피부 무감각, 피부 감각 상실, 피부 둔감, 피부 무감각증, 피부 감각 부족
남성스러운 목소리: 남성적 목소리, 남성스러운 음성, 남성 음색, 남성 스타일 목소리, 남성적 음성 톤
엉덩이 통증: 엉덩이 아픔, 엉덩이 따가움, 엉덩이 통증 증세, 엉덩이 불편감, 엉덩이 통증 발생
무릎 부위 통증: 무릎 아픔, 무릎 따가움, 무릎 통증 증세, 무릎 불편감, 무릎 통증 발생
읽기 자체의 문제: 독해 곤란, 문장 해독 어려움, 글씨 해독 곤란, 문장 이해 어려움, 글씨 해석 문제
턱의 통증: 턱 아픔, 턱 통증, 턱 근육통, 턱 관절통, 턱 불편감
몽유병: 잠식병, 수면 장애, 수면 부조화, 수면 문제, 잠 부족
무도증: 균형 장애, 몸 조절 장애, 운동 제어 문제, 불안정한 자세, 균형 감각 상실
함몰유두: 유두 감소, 젖꼭지 침하, 유두 내충출, 유두 침하, 젖꼭지 내포
무산소 발작: 호흡 곤란, 호흡 마비, 숨 막힘, 질식 발작, 호흡 공허감
감각 이상: 감각 이상증, 감각 장애, 감각 손상, 감각 변화, 감각 부조화
고막에 수포형성:고막 물집,고막에 물집 생김,고막에 수포,고막에 물집 형성,고막의 물집
쇼크:충격,급격한 반응,쇼크 상태,심한 충격,몸의 충격
저혈압:낮은 혈압,혈압 저하,혈압이 낮음,혈압 떨어짐,혈압 감소
색깔이 퇴색해보임:색이 바램,색이 흐려짐,색이 탈색됨,색이 빠짐,색이 옅어짐
수막자극증상:수막염 증상,뇌수막 증상,수막 자극 증상,수막의 증상,수막 자극 반응
생리불순:불규칙한 생리,생리 주기 불규칙,생리 이상,생리 불규칙,생리 문제
노란 이물질:노란 분비물,황색 이물질,노란 물질,노란 찌꺼기,황색 분비물
근력 약화:근육 힘 약화,근력 저하,근육 약화,근육 힘 없음,근력 감소
오리걸음:뒤뚱거림,걷기 불편,뒤뚱뒤뚱 걸음,걷는 모습 이상,뒤뚱거리는 걸음
손상 부위 통증:상처 통증,다친 부위 아픔,상처 아픔,부상 부위 통증,부위 통증
코골이:코를 곬음,수면 중 코골이,자는 동안 코를 곬음,잠잘 때 코골이,코 고는 소리
얼굴모양변화:얼굴 변화,얼굴형 변함,얼굴 모양 달라짐,얼굴 변형,얼굴 모습 변함
질식:숨막힘,질식 증상,숨막히는 느낌,숨쉬기 어려움,호흡곤란
태아의 하강감:아기 내려옴,태아 내려옴,태아 하강 느낌,아기 하강,태아 위치 변화
급성 신부전:급성 신장 문제,신장 기능 상실,급성 신장 부전,신장 기능 저하,급성 신장 장애
수면 유지가 어려움:잠 유지 어려움,자다 깸,수면 유지 문제,깨어나는 잠,잠 못 지속
비관주의:부정적 생각,비관적 태도,부정적 사고,낙담,비관적 시각
림프절 농양:림프절 고름,림프절 염증,림프절 부기,림프절에 고름,림프절 감염
천명음:쌕쌕거림,호흡음 이상,숨쉴 때 소리,쌕쌕거리는 소리,호흡음
이슬:임신 말기 분비물,출산 전 분비물,출산 준비 분비물,임신 마지막 분비물,출산 전 증상
털이 동반되기도 함:털이 나기도 함,털이 자라기도 함,털이 생기기도 함,털 동반 증상,털이 나타나기도 함
약시:시력 저하,약한 시력,시력이 약함,약한 눈,시력 감소
삶에 대한 흥미 상실:무기력증,삶의 재미 없음,활력 상실,의욕 상실,무기력함
요관 폐쇄:소변길 막힘,소변 배출 어려움,요관 막힘,소변길 폐쇄,요관 문제
식후 불쾌감:식사 후 불편함,밥 먹고 불쾌,식후 속 불편,먹고 난 뒤 불쾌,밥 먹고 나서 불편
치아발달장애:치아 발육 문제,치아 성장 이상,치아 발달 문제,치아 성장 저하,치아 발육 장애
다발성 장기부전 증상:여러 장기 기능 상실,장기 부전 증상,장기 여러 개 기능 저하,다수 장기 문제,장기 기능 저하
새가슴:흉부 돌출,가슴이 튀어나옴,돌출된 가슴,가슴뼈 돌출,튀어나온 가슴
치아 흔들림:흔들리는 이,치아가 흔들림,헐거운 치아,치아 움직임,흔들리는 치아
콧물:코에서 나오는 물,흐르는 콧물,콧물이 남,코 분비물,맑은 콧물
감기 증상:감기 기운,감기 같은 증상,감기 느낌,감기 증세,감기 기운 있음
복부의 박동감:배에서 느껴지는 박동,배의 맥박,복부 뛰는 느낌,배가 뛰는 느낌,배에서 느껴지는 맥박
굽은 등:등이 구부러짐,등 굽음,굽은 허리,구부정한 등,등이 굽어짐
신경 마비:신경 기능 상실,신경 마비 증상,신경 손상,신경 저하,신경 무기력
이마가 넓어짐:넓어진 이마,이마가 커짐,넓어진 이마 부위,이마 확장,넓어진 이마 선
실인증:인식 불능,인식 장애,실인증 증상,알아보지 못함,인식 못함
관절잡음:관절 소리,관절에서 나는 소리,관절 소음,관절음,관절서 소리 남
관절 운동성 감소:관절 운동 어려움,관절 운동 저하,관절 움직임 감소,관절 유연성 감소,관절 움직임 저하
저체온:체온 저하,낮은 체온,몸이 차가워짐,체온 떨어짐,냉각된 몸
불임:임신 불가,아이 못 가짐,임신 어려움,출산 불가,임신 불능
통증 없는 부종:아프지 않은 부종,무통 부종,통증 없는 붓기,아프지 않은 붓기,무통성 부종
이완성 마비:근육 이완 마비,근육 늘어짐,이완된 마비,힘 빠진 마비,늘어진 마비
구취:입 냄새,입에서 나는 냄새,입 악취,구강 냄새,입안 냄새
겨드랑이 악취:겨드랑이 냄새,겨드랑이에서 악취,겨드랑이 냄새 남,겨드랑이 악취 발생,겨드랑이 악취 풍김
다리변형:다리 모양 변형,변형된 다리,다리의 이상,다리 기형,다리 형태 변형
추위를 못견딤:추위에 약함,추위 못 참음,추위 민감,추위에 예민,차가운 것 못 견딤
손 발톱이 두꺼워짐:두꺼운 손톱,발톱이 두꺼워짐,손톱 두꺼워짐,발톱 두꺼워짐,손발톱이 두꺼워짐
옷 액와 부분 변색:옷 겨드랑이 부분 색 바램,옷 겨드랑이 부분 탈색,겨드랑이 부분 색 변화,겨드랑이 부분 변색,옷 겨드랑이 부분 색 변함
삼키기 곤란:삼키기 어려움,목넘김 어려움,음식 삼킴 곤란,삼킬 때 아픔,음식 삼키기 힘듦
안구혼탁:흐린 눈,혼탁한 눈,눈이 뿌옇게 보임,뿌연 시야,혼탁한 시력
사지 부종:팔 다리 붓기,사지 붓기,팔과 다리 부음,팔다리 부종,사지 부어오름
근위축:근육 감소,근육 줄어듦,줄어든 근육,약해진 근육,근육 축소
설염:혀 염증,혀의 염증,혀 염증 증상,염증성 혀,혀의 통증
입 주변 부종:입가 붓기,입 주위 부음,입 주변 붓기,입가 부종,입 주위 부종
체중감소:살 빠짐,몸무게 감소,체중 줄어듦,몸무게 줄어듦,체중 감량
피로감:피곤함,지침,기운 없음,피곤한 느낌,피로 증상
에너지가 적음:힘 빠짐,기운 없음,활력 저하,에너지 부족,기운 빠짐
곤봉지:손가락 끝 굵어짐,굵어진 손가락 끝,손가락 모양 변화,둥근 손가락 끝,두꺼운 손가락 끝
비정상적인 움직임:이상한 움직임,비정상적 동작,특이한 움직임,비정상적 행동,이상한 동작
사고의 비약:생각의 도약,빠른 사고,급격한 사고,사고의 빠름,비약적 생각
전신 부종:온몸 붓기,전신 부음,온몸 부종,전신 붇기,몸 전체 부음
식욕부진:식욕 없음,입맛 떨어짐,밥맛 없음,먹기 싫음,입맛 저하
격동적 움직임:빠른 동작,격렬한 움직임,격한 움직임,빠른 움직임,급격한 동작
상처가 넓어짐:확대된 상처,커진 상처,상처 부위 넓어짐,넓어진 상처,상처 확장
피부색 변화:피부색 변함,변색된 피부,피부색 달라짐,변한 피부색,피부 변색
비정상적인 진통:이상한 진통,비정상적 통증,특이한 통증,비정상적 아픔,진통 문제
피부 긴장도 저하:처진 피부,늘어진 피부,피부 탄력 저하,탄력 없는 피부,늘어지는 피부
노출증:노출증상,공개증,공개행동,공개적 행동,노출 문제
구강호흡:입으로 숨쉬기,입호흡,코 대신 입으로 숨쉬기,입으로 호흡,구강으로 숨쉬기
달모양의 둥근 얼굴:달처럼 둥근 얼굴,둥근 얼굴,달 모양 얼굴,둥근형 얼굴,동그란 얼굴
안구증대:커진 눈,눈 커짐,증가된 안구,안구 커짐,커진 안구
사래걸림:목이 잠김,목에 걸림,사래 걸린 증상,목잠김,목에 걸린 느낌
자세 불안정:불안정한 자세,자세가 불안정함,안정되지 않은 자세,자세 흔들림,불안정한 동작
무호흡:숨 멈춤,호흡 중단,멈춘 호흡,일시적 무호흡,숨 쉬지 않음
척추와 허리 디스크:척추 디스크,허리 디스크,디스크 문제,척추와 허리의 디스크,디스크 장애
치아의 탈락:빠진 치아,빠지는 이,빠짐 치아,이탈 치아,탈락된 치아
축 쳐진 귀:쳐진 귀,늘어진 귀,축 늘어진 귀,축 쳐진 귀 상태,늘어진 귀 모양
염좌:삠,근육 삠,삔 증상,근육 염좌,삐어짐
대인관계 어려움:사람들과 어려움,사회적 관계 문제,대인 문제,인간관계 어려움,대인관계 불편
무뇨:소변 안 나옴,소변 없음,오줌 안 나옴,소변 배출 안 됨,오줌 없음
빈뇨:잦은 소변,자주 소변 봄,소변 횟수 많음,빈번한 배뇨,잦은 배뇨
이중턱:겹턱,이중으로 보이는 턱,겹쳐진 턱,겹겹이 턱,두 겹 턱
반복되는 폐렴:잦은 폐렴,반복적 폐렴,자주 걸리는 폐렴,폐렴 반복,빈번한 폐렴
갈퀴족지:발가락 붙음,붙은 발가락,연결된 발가락,붙어 있는 발가락,붙어 있는 발
이상한 소리를 냄:이상한 소리,특이한 소리,비정상적 소리,변한 소리,특별한 소리
표준 신장의 3%이하:작은 키,표준 이하 키,3% 이하 키,작은 신장,아주 작은 키
남성의 여성형 유방:남성의 여성형 가슴,여성형 가슴,여성 같은 가슴,여성형 남성 가슴,남성의 유방 확대
어깨 움직임의 제한:어깨 제한,어깨 움직임 어려움,제한된 어깨 움직임,어깨 움직임 감소,어깨 제한 동작
감정 변화:변한 감정,변동 감정,감정 변동,감정 달라짐,달라진 감정
폐부종:폐 붓기,부은 폐,폐의 부종,폐가 붓는 증상,폐 부풀어 오름
얼굴 한쪽의 반점:한쪽 얼굴 반점,얼굴에 생긴 반점,얼굴 한쪽에 점,얼굴 반쪽 반점,얼굴 점
고막 충혈:충혈된 고막,붉어진 고막,고막의 충혈,붉은 고막,고막 빨개짐
뇌수종:수두증,뇌에 물참,뇌의 물참,뇌에 물이 참,뇌수종 증상
눈 사이가 멀어보임:멀어 보이는 눈,넓어진 눈 간격,눈 사이 넓어짐,멀어진 눈 사이,넓은 눈 간격
성선 기능 저하증:성선 기능 저하,성선 기능 감소,성선 문제,성선 저하 증상,성선 저하
자궁 수축:자궁의 수축,수축된 자궁,자궁 수축 증상,자궁이 수축됨,자궁이 오므라듦
펴진 귓바퀴:펴진 귀,펴진 귀 모양,펼쳐진 귀,펼쳐진 귓바퀴,펼쳐진 귀 모양
경부 림프절병증:목 림프절 병증,목 림프절 이상,목의 림프절 문제,목 림프절 병,목 림프절 장애
질병에 대한 공포:병에 대한 두려움,병 공포,질병 두려움,질병 공포증,병에 대한 공포증
가슴 쓰림:가슴 통증,가슴 쓰라림,가슴 아픔,가슴이 쓰라림,가슴의 통증
신증후군:신장 증후군,신장의 문제,신장 이상,신증후군 증상,신장의 장애
열감:뜨거운 느낌,열이 남,더운 느낌,몸의 열기,뜨거운 몸
고음에서의 분열:고음에서 갈라짐,고음 갈라짐,높은 소리에서 분열,고음에서 깨짐,높은 소리 분열
담석:쓸개돌,담낭 결석,담낭 돌,쓸개 결석,담낭에 생긴 돌
심근손상:심장 근육 손상,손상된 심근,심근 파열,심장 근육 문제,심근 문제
정서장애:정신적 문제,정신적 장애,정서적 문제,정신 문제,정서 장애
다리의 길이가 틀림:다리 길이 차이,다리 길이 불일치,다리 길이 다름,비대칭 다리,길이가 다른 다리
면포:블랙헤드,피지 덩어리,피부 면포,작은 여드름,피지 축적
두피 건조:건조한 두피,마른 두피,건조한 머리 피부,두피 수분 부족,마른 두피 상태
낮은 자존감:자존감 저하,자존감 없음,낮은 자신감,자존감 부족,자신감 저하
4 5번째 손가락 굽음:손가락 굽음,굽은 손가락,손가락 휘어짐,손가락 구부러짐,굽은 네번째 다섯번째 손가락
발진:피부 발진,뾰루지,피부 트러블,붉은 반점,피부 병변
충동 조절 어려움:충동 제어 불가,충동적 행동,충동 못 참음,충동 문제,충동 조절 문제
거칠어진 피부:거친 피부,거칠거칠한 피부,불규칙한 피부,거친 감촉,까칠한 피부
부정교합:맞물림 이상,치아 교합 문제,교합 불일치,맞지 않는 교합,교합 문제
간기능 저하:간 기능 저하,간의 기능 약화,간 약화,간 기능 문제,약해진 간
거품있는 소변:거품 소변,거품 생기는 소변,거품나는 오줌,거품 나는 소변,거품이 있는 소변
눈꺼풀의 떨림:눈 떨림,눈꺼풀 경련,눈의 떨림,떨리는 눈꺼풀,눈꺼풀 움직임
소아기호증:어린이 성애,아동 성애,어린이 선호,소아 성애,어린이 사랑
심정지:심장 멈춤,심장 정지,멈춘 심장,심장 기능 멈춤,정지된 심장
면역기능 이상:면역 문제,면역 기능 저하,면역 저하,면역력 문제,면역력 저하
피부 및 점막의 염증:피부 염증,점막 염증,피부 점막 염증,염증 증상,염증 발생
중심시력감소: 시력 저하, 중심 시야 손실, 시야 흐림, 눈의 시력 약화, 중심 시야 장애
미소음경(micropenis): 작은 음경, 미세 음경, 음경 크기 감소, 음경이 작음, 음경 크기 문제
배꼽이 솟음: 튀어나온 배꼽, 배꼽 돌출, 융기된 배꼽, 솟아오른 배꼽, 배꼽의 돌출현상
눈 주위 노란 반점: 눈 주변 황색반, 눈가의 노란 반점, 눈 주위 황반, 눈 옆 노란 점, 눈가 황색 점
장폐색: 장의 막힘, 장 통과 장애, 장이 막힘, 소화관 폐쇄, 장의 폐쇄 현상
눈의 자극감: 눈 따가움, 눈 자극, 눈의 불편감, 눈이 쓰림, 눈의 화끈거림
저체중: 체중 감소, 몸무게 부족, 마른 체형, 저체중 상태, 몸무게 저하
흉수: 가슴 물참, 흉부 액체, 흉강의 물참, 가슴에 물, 흉부의 액체 축적
분홍색의 반흔: 핑크빛 흉터, 분홍 반점, 분홍 흉터, 핑크 자국, 분홍색 상처 자국
관절염: 관절 염증, 관절 통증, 관절 질환, 관절 붓기, 관절의 염증
비장비대: 비장의 커짐, 비장 부풀어 오름, 비장 비대증, 비장이 커짐, 비장의 확장
망막 이상: 망막 문제, 망막 손상, 망막 질환, 눈 망막 장애, 망막의 이상
왜곡된 신체상: 신체 이미지 왜곡, 몸에 대한 왜곡된 인식, 왜곡된 신체 인식, 신체상 문제, 잘못된 신체 인식
무월경: 생리 없음, 월경 중단, 생리 중지, 무 생리, 월경 멈춤
종아리 근육의 비대: 종아리 근육 커짐, 종아리 근육 비대증, 종아리 두꺼움, 종아리 근육 발달, 종아리 근육 확대
수면 주기의 변화: 수면 패턴 변화, 잠 패턴 변화, 수면 리듬 변화, 잠 주기 변화, 수면 시간 변화
마비: 움직임 불가, 신체 마비, 몸이 마비됨, 마비 상태, 신체의 마비
가늘어지는 팔다리: 팔다리의 얇아짐, 팔 다리 가늘어짐, 팔다리 살 빠짐, 팔다리 약해짐, 팔다리 체중 감소
성기크기 감소: 성기 크기 저하, 성기 작아짐, 성기 축소, 성기의 감소, 성기 사이즈 줄어듬
성기능 장애: 성기능 문제, 성적 문제, 성기능 저하, 성적 장애, 성생활 문제
폐출혈: 폐에서 출혈, 폐의 피, 폐 출혈, 폐 피 흐름, 폐 내부 출혈
사회성 부족: 사회적 고립, 사회성 문제, 사람들과의 거리감, 사회적 상호작용 부족, 사회적 고립감
축 늘어짐: 힘 빠짐, 축 처짐, 힘이 없음, 축 늘어진 상태, 신체의 무기력
진한 소변색: 짙은 소변, 어두운 소변색, 소변이 진함, 어두운 소변, 진한 색의 소변
음식섭취 거부: 먹기 싫어함, 음식 거부, 식사 거부, 먹지 않음, 음식 섭취를 피함
빈혈: 혈액 부족, 피가 부족함, 혈액의 빈혈, 적혈구 부족, 혈액의 문제
혀끝이 w모양: 혀끝의 이상, 혀끝 변형, w자 혀끝, 혀끝 모양 변형, 혀끝 이상
폐동맥 고혈압: 폐동맥 압력 상승, 폐동맥 혈압 증가, 폐동맥의 고혈압, 폐의 혈압 상승, 폐혈관 고혈압
요도가 아랫쪽에 위치: 요도의 위치 문제, 요도가 아래쪽, 요도의 비정상적 위치, 하부 요도, 요도 위치 이상
안구돌출: 눈이 튀어나옴, 돌출된 눈, 안구의 돌출, 눈알 돌출, 눈의 튀어나옴
합지증: 손가락이 붙음, 합쳐진 손가락, 손가락이 연결됨, 손가락 합체, 손가락 융합
정체감 혼란 및 변형: 정체감 문제, 자아 혼란, 정체성 문제, 정체감의 변형, 자아 인식 혼란
잦은 감염: 반복적 감염, 빈번한 감염, 자주 걸리는 감염, 반복 감염, 자주 걸리는 병
조절할 수 없는 충동감: 충동 조절 문제, 억제 불가능한 충동, 충동 조절 불능, 통제 안 되는 충동, 억제할 수 없는 충동
호흡곤란: 숨쉬기 어려움, 숨이 참, 숨쉬기 힘듦, 호흡 어려움, 호흡의 문제
말을 많이 함: 다변, 말이 많음, 말 많음, 다작, 과도한 말
안구 이상: 눈의 문제, 안구 문제, 눈 장애, 안구 이상증, 시각 기관 문제
흉쇄 유돌근의 몽우리: 목 근육 결림, 흉쇄근 결림, 목덩이, 목의 몽우리, 유돌근의 결림
졸림: 졸음, 잠옴, 졸린 상태, 피곤함, 잠오는 느낌
혀의 통증: 혀 아픔, 혀의 아픔, 혀가 쑤심, 혀의 불편감, 혀 통증
천식: 숨 가쁨, 기도 협착, 천식 증상, 숨쉬기 어려움, 천식 발작
설사: 물설사, 잦은 설사, 배탈, 장 트러블, 설사증
편측 사지의 감각소실: 한쪽 팔다리 감각 없음, 편측 신경 마비, 편측 감각 소실, 한쪽 팔다리의 감각 문제, 편측 감각 장애
트림: 공기뱉기, 트림하기, 공기 배출, 트림현상, 트림 나옴
가학증: 고통 주기 즐김, 고통 유발 성향, 가학 성향, 고통 주는 성향, 가학적 행동
손 발 감각 저하: 손발 저림, 손발 감각 무뎌짐, 손발의 감각 저하, 손발의 둔감, 손발 저림 현상
눈 주변 부종: 눈 주위 부음, 눈가 부종, 눈 주변 붓기, 눈 주위 붓기, 눈 주위 부풀어오름
회음부의 작은 돌기: 회음부 돌기, 회음부의 작은 혹, 회음부 작은 종양, 회음부의 작은 튀어나옴, 회음부 돌출
저심박출량: 낮은 심박출량, 심장 펌프 문제, 심박출 감소, 심장의 펌프 능력 저하, 심박출 저하
안검하수: 눈꺼풀 처짐, 눈꺼풀 하수, 처진 눈꺼풀, 눈꺼풀 내려옴, 눈꺼풀의 처짐
무의지증: 무기력증, 의지 상실, 무동력증, 동기 부여 안됨, 동기 결여
압통: 누르면 아픔, 눌림 통증, 압박 시 통증, 눌리면 아픈, 압박 통증
객혈: 피가래, 피 섞인 가래, 혈액 가래, 가래에 피, 피 뱉음
아나필락시스: 알레르기 쇼크, 과민반응, 아나필락틱 쇼크, 급성 알레르기 반응, 아나필락시스 반응
호르몬변화: 호르몬 변동, 호르몬 변화증, 호르몬 변이, 호르몬 불균형, 호르몬 변화 현상
산통: 출산 통증, 진통, 분만 고통, 출산의 고통, 출산 통증
어깨근육 약화: 어깨 힘 빠짐, 어깨 근력 저하, 어깨 근육 힘 없음, 어깨 근육 약화, 어깨의 힘 부족
분만 지연: 출산 지연, 분만 늦어짐, 출산 늦어짐, 출산 시간 지연, 분만 시기 지연
탈력발작: 갑작스러운 무력감, 힘 빠짐 발작, 기력 소진 발작, 탈진 발작, 근력 소실 발작
희망이 없는 느낌: 절망감, 희망 상실, 낙담, 희망 없음, 좌절감
구토: 토함, 토하기, 메스꺼움, 토하는 증상, 위액 역류
항문 통증: 항문 아픔, 항문 불편감, 항문 통증, 항문 쑤심, 항문이 아파요
붉고 얇은 피부: 홍조 피부, 얇은 피부, 붉어진 피부, 얇고 빨간 피부, 얇아진 피부
배뇨 시 통증: 소변 볼 때 아픔, 소변 시 통증, 배뇨 중 불편감, 소변 때 아픔, 소변 시 아픔
점상 출혈: 작은 출혈점, 피부의 작은 출혈, 점 모양 출혈, 피부의 점상 혈점, 작은 피출혈
음낭이 잘 발달하지 않음: 음낭 발달 부족, 음낭 미발달, 음낭이 작음, 음낭 크기 문제, 음낭 발육 부진
무관심: 관심 없음, 무심함, 냉담함, 흥미 부족, 무감각
구각염: 입가 염증, 입가의 염증, 입 주위 염증, 입술 염증, 구석염
소변량 감소: 소변 적음, 소변 줄어듦, 소변량 줄어듦, 소변 적게 나옴, 소변 양 감소
관련 장기의 일시적 기능장애: 장기 기능 일시 장애, 장기 기능 문제, 장기 기능 저하, 장기 기능 일시 저하, 관련 장기 문제
자반증: 피부 자반, 자반점, 자색반점, 피부 출혈, 자색 출혈
출혈 경향성: 출혈 쉽게 됨, 출혈 빈번함, 출혈 잘 됨, 출혈 성향, 출혈 잦음
입수면기의 환각: 잠들기 전 환각, 수면 전 환각, 수면기 환각, 잠 전 환각, 수면 입면기 환각
뻣뻣함: 경직됨, 굳음, 뻣뻣해짐, 몸이 경직됨, 근육 경직
광과민성: 빛에 민감함, 광민감증, 빛에 예민함, 빛에 약함, 빛 반응 과민
코가 삐뚤어짐: 코 비틀림, 코 휘어짐, 비뚤어진 코, 코 모양 변형, 휜 코
거짓 증상 호소: 허위 증상, 가짜 증상, 위증상, 거짓 아픔, 증상 가장
모발 탈색: 머리 탈색, 머리 색 빠짐, 머리카락 탈색, 머리색 변화, 머리카락 색 빠짐
관절 구축: 관절 경직, 관절 굳음, 관절 고정, 관절 뻣뻣함, 관절의 경직
뇌압상승증상: 두개내압 상승, 뇌압 증가, 두개내압 상승 증상, 뇌압 고압, 두개내압 고혈압
발 안쪽 아치의 소실: 평발, 발 아치 소실, 발 아치 없음, 발 아치 무너짐, 평평한 발
거대자궁: 큰 자궁, 자궁 비대, 비대한 자궁, 자궁 크기 증가, 커진 자궁
잔변감: 잔변 느낌, 배변 불완전감, 배변 후 잔변감, 배변 후 찝찝함, 잔변 증상
수면 중 소변을 봄: 야뇨증, 잠 중 소변, 밤에 소변, 수면 중 방뇨, 수면 야뇨
무의식: 의식 없음, 깨어나지 않음, 무의식 상태, 의식 불가, 의식 잃음
행동장애: 행동 문제, 행동 이상, 행동 통제 불가, 비정상적 행동, 행동장애 증상
음성피로: 목소리 피로, 음성 피로감, 목소리 피곤함, 목소리 피곤증, 음성 피로 증상
폭식: 과식, 폭음, 지나친 먹기, 폭식 증상, 많이 먹기
환부 냉감: 부위 차가움, 냉각 부위, 차가운 상처, 냉기 부위, 상처 부위 차가움
주먹을 쥐기 힘듬: 손 꽉 쥐기 어려움, 손 쥐기 힘듦, 주먹 쥐기 어려움, 손잡기 힘듦, 주먹 쥐는 것 힘듦
열: 고열, 체온 상승, 열기, 고온, 발열
이성의 옷을 착용함: 이성 옷 입기, 반대 성별 옷 착용, 이성 복장, 이성복 착용, 이성의복 착용
각막 이상: 각막 문제, 각막 손상, 각막 질환, 각막 장애, 각막의 이상
치핵의 탈출: 치질 탈출, 항문 치핵, 치핵 돌출, 치핵 탈락, 항문 탈장
가슴 통증: 흉통, 가슴 아픔, 흉부 통증, 가슴 불편함, 흉부 아픔
하지 마비: 다리 마비, 하반신 마비, 다리 움직임 불가, 하반신 불편함, 하체 마비
소화불량: 소화 문제, 소화 안됨, 소화 불편함, 소화기 장애, 소화 곤란
실명: 시력 상실, 눈 안보임, 눈 멈춤, 시력 잃음, 시각 장애
생식기 통증: 성기 아픔, 성기 통증, 생식기 불편함, 성기 불편감, 생식기 고통
황반부종: 황반 붓기, 눈 황반 부종, 눈의 부종, 황반의 부기, 눈 황반 부음
적색의 각질화된 피부: 빨간 각질 피부, 붉은 각질 피부, 각질화된 붉은 피부, 각질화된 적색 피부, 붉어진 각질
암 부위별로 다름: 부위별 암 증상, 암의 부위별 차이, 암 증상 다양, 암의 부위별 증상, 부위에 따른 암 증상
점막변화: 점막 이상, 점막 손상, 점막 문제, 점막 변화 증상, 점막의 변화
