질환명,증상,관련질환,진료과목,코드
갑상선 결절,"호흡곤란, 삼키기 곤란, 갑상선이 단단해짐, 갑상선 비대","갑상선 미분화암, 부갑상선기능저하증, 갑상선 결절, 선천성 갑상선기능저하증, 갑상선암, 갑상선 여포암, 갑상선기능저하증, 갑상선염, 갑상선중독증, 산후 갑상선염, 갑상선기능항진증, 갑상선 수질암, 부갑상선기능항진증","내분비내과, 이비인후과, 핵의학과",31803
갑상선 미분화암,"목의 이물감, 삼키기 곤란, 호흡곤란, 목소리 변화","갑상선암, 갑상선 여포암, 갑상선 수질암","내분비내과, 이비인후과, 내분비외과",32290
갑상선 수질암,"호흡곤란, 목의 이물감, 목소리 변화, 삼키기 곤란","갑상선암, 갑상선 여포암, 갑상선 미분화암","내분비내과, 이비인후과, 내분비외과",32288
갑상선 여포암,"목소리 변화, 삼키기 곤란, 호흡곤란, 목의 이물감","갑상선암, 갑상선 미분화암, 갑상선 수질암","내분비내과, 이비인후과, 내분비외과",32286
갑상선 유두암,"호흡곤란, 목소리 변화, 덩어리가 만져짐, 목 주변 부종","갑상선 미분화암, 갑상선 수질암, 갑상선암, 갑상선 여포암, 갑상선 결절","내분비내과, 이비인후과, 내분비외과",33555
갑상선기능저하증,"피부 건조, 창백, 체중증가, 피로감, 전신 부종, 식욕부진, 목소리 변화, 월경과다, 추위를 못견딤, 근육통","갑상선 결절, 갑상선염, 갑상선기능항진증, 산후 갑상선염",내분비내과,30863
갑상선기능항진증,"빈맥, 피부 건조, 신경과민, 불면증, 부정맥, 설사, 무월경, 안구돌출","갑상선 결절, 갑상선중독증, 갑상선암, 갑상선기능저하증, 산후 갑상선염, 갑상선염","가정의학과, 내분비내과, 내분비외과",32287
갑상선암,"덩어리가 만져짐, 성대마비, 결절, 삼키기 곤란, 갑상선이 단단해짐, 호흡곤란","갑상선기능저하증, 갑상선 수질암, 갑상선 결절, 부갑상선기능저하증, 갑상선 여포암, 갑상선 미분화암, 갑상선염, 갑상선중독증","내분비내과, 이비인후과",31594
갑상선염,"갑상선이 단단해짐, 갑상선 비대, 목의 통증","산후 갑상선염, 갑상선기능저하증, 갑상선중독증, 갑상선기능항진증, 갑상선 결절","내분비내과, 이비인후과, 내분비외과",32281
갑상선중독증,"식욕증가, 발한, 생리불순, 손떨림, 안구돌출, 신경과민, 불안, 더위를 못 견딤, 체중감소, 갑상선 비대","무과립구증, 갑상선기능저하증, 갑상선기능항진증, 갑상선염, 산후 갑상선염","내분비내과, 내분비외과",31595
갑상설관 낭종,"목의 통증, 목 주변 부종, 목의 이물감","갑상선 결절, 갑상선암",이비인후과,32273
강박 장애,"불안, 의심, 반복적인 동작","자폐증 / 자폐 스펙트럼 장애, 불안 장애, 우울증, 틱 장애",정신건강의학과,32132
강직성 척추염,"어깨의 통증, 관절통, 말초 통증, 골반 통증, 엉덩이 통증, 관절의 경직, 요통","척추병증, 요추관 협착증, 포도막염, 퇴행성 척추 장애","재활의학과, 류마티스내과",30824
객혈,"객혈, 거품이 섞인 가래, 가래","폐 혈전색전증, 식도암, 폐암, 비소세포성 폐암, 소세포성 폐암, 폐렴, 속립성 결핵, 기관지확장증, 폐결핵, 폐 전이, 승모판 협착, 아스페르길루스증, 만성 기관지염, 폐부종, 결핵",호흡기내과,31850
거대세포 바이러스 질환,"정신 지체, 난청, 청력장애, 궤양, 열, 피로감, 태아 저체중","단순 포진성 뇌염, 구순포진, 감염성 단핵구증, 대상포진 후 신경통, 대상포진, 헤르페스 바이러스 감염","감염내과, 소아감염과",32850
거북목 증후군,"어깨의 통증, 목의 통증, 어지러움, 불면증, 눈의 피로","경추 추간판 탈출증, 복합 부위 통증 증후군, 만성 피로 증후군, 섬유근육통",정형외과,31866
거스트만 증후군,"지남력 장애, 인지장애, 학습장애","뇌종양, 양성 뇌종양, 뇌졸중, 뇌농양","신경과, 신경외과, 재활의학과",33570
건 손상,"손가락 운동장애, 환부 통증, 발 굴곡 운동의 제한, 발끝으로 설 수 없음","회전근개 증후군, 수부 외상",정형외과,31712
건강염려증,"질병에 대한 공포, 비현실감, 병원 쇼핑",신체형 장애,정신건강의학과,32088
건선,"고름, 발진, 인설","탈락 피부염, 피부염",피부과,31548
건초염,"근위축, 환부 통증, 환부 부종","주관절 외상과염, 내상과염, 방아쇠 수지, 아킬레스 건염",정형외과,31863
게실 질환,"위장관 출혈, 복부팽만감, 배변습관의 변화, 복부 통증, 오한, 변비, 열",메켈 게실,"소화기내과, 대장항문외과",31777
결막염,"눈의 충혈, 눈꼽, 눈의 피로, 눈부심, 눈의 자극감","각막 혼탁과 흉터, 출혈성 결막염, 각막 궤양, 안구 건조증, 알레르기성 결막염, 백일해","안과, 소아안과",32223
결절성 경화증 ,"정신 지체, 결절, 하얀 반점, 경련","피질하 경색과 백질뇌증을 동반하는 상염색체 우성 뇌동맥질환, 모세혈관 확장성 운동실조 증후군, 로우 증후군, 신경섬유종, 레트 증후군","의학유전학센터, 의학유전학과",32419
결절성 다발동맥염,"근육통, 피로감, 말초 신경장애, 열, 관절통, 자반증","급성 B형 간염, 혈관염, 심내막염, 급성 C형 간염","혈관외과, 심장병원, 류마티스내과",32122
결절종,"환부 통증, 덩어리가 만져짐",지방종,"성형외과, 정형외과",31704
결핵,"열, 체중감소, 기침, 객혈, 가래","결핵성 복막염, 속립성 결핵, 폐결핵, 결핵성 수막염, 결핵성 골수염, 위장관 결핵, 결핵성 임파선염","감염내과, 호흡기내과",32191
결핵성 골수염,"체중감소, 열, 관절통, 식욕부진, 근육경련, 뼈의 변형","결핵성 임파선염, 결핵성 복막염, 위장관 결핵, 척추 골수염, 속립성 결핵, 결핵, 골수염, 결핵성 수막염, 폐결핵",감염내과,31719
결핵성 복막염,"발한, 권태감, 식욕부진, 압통, 체중감소, 빈호흡, 오심, 복부 통증, 열, 빈맥, 복수, 복부팽만감","폐결핵, 결핵성 수막염, 위장관 결핵, 결핵, 복막염, 결핵성 골수염, 결핵성 임파선염, 속립성 결핵",감염내과,31727
결핵성 수막염,"눈운동신경마비, 열, 두통, 졸림, 시야장애, 혼수",후천성 면역결핍증,"감염내과, 신경과",31672
결핵성 임파선염,"고름, 식욕부진, 발한, 피부궤양, 목의 통증, 목 주변 부종, 피로감, 체중감소, 열","위장관 결핵, 폐결핵, 속립성 결핵, 결핵, 결핵성 수막염, 결핵성 골수염, 결핵성 복막염",감염내과,31741
경계성 인격장애,"망상, 의심, 우울, 자살의 위험, 조절할 수 없는 충동감, 대인관계 어려움, 약물남용","양극성 장애, 우울증, 불안 장애, 행동 및 충동 장애, 병적 방화, 분노 조절 장애, 반사회성 인격장애, 망상 장애, 해리 장애, 편집성 인격장애, 병적 도벽",정신건강의학과,32723
경골과 비골 골절,"손상 부위 통증, 손상 부위 출혈, 다리변형, 하지부종","대퇴 골절, 골절 후 부정 유합, 불유합, 원위 요골과 척골 골절",정형외과,31565
경동맥 협착증,"언어장애, 감각 이상, 어지러움, 반신마비","뇌졸중, 고혈압, 급성 심근경색증, 죽상경화증, 당뇨병","혈관외과, 심장외과",32173
경미한 인지장애,"우울, 판단력장애, 기억장애, 언어장애, 무관심","간성 뇌증, 혈관성 치매, 치매, 우울증",신경과,32003
경부 림프절염,"통증 없는 부종, 압통, 열","편도선염, 이하선염, 림프부종, 풍진, 홍역, 아데노이드의 비대를 동반한 편도의 비대, 결핵성 임파선염, 임파선염, 림프종, 림프관종","감염내과, 이비인후과",31740
경추 추간판 탈출증,"어깨의 통증, 목의 통증, 손의 통증, 마비, 감각 이상, 저림","퇴행성 척추 장애, 요추 전방전위증, 요추관 협착증, 외상에 의한 척추 손상","신경외과, 정형외과",31869
경화성 담관염,"황달, 식욕부진, 피부소양감, 체중감소, 복부 통증","췌장염, 간경화, 대장암, 간내 담석, 궤양성 대장염, 담관암",소화기내과,32094
계류 유산,"멍, 커지지 않는 자궁, 복부 통증, 비정상적 질출혈, 유방의 퇴행, 비출혈, 체중감소",유산,산부인과,31947
고관절 이형성증,"오리걸음, 다리가 잘 안 벌어짐, 귀두가 울혈됨, 다리의 길이가 틀림",대퇴골두 무혈관성 괴사,"정형외과, 소아정형외과",31702
고나트륨혈증,"빈호흡, 피부 긴장도 저하, 오심, 갈증, 식욕부진","요붕증, 당뇨병, 신부전","신장내과, 응급의학과",32304
고마그네슘혈증,"심정지, 오심, 호흡곤란, 부정맥, 근력 약화, 구토, 저혈압","당뇨병, 신부전, 부갑상선기능항진증","신장내과, 응급의학과",32303
고막염,"청력장애, 고막에 수포형성, 발적, 이물감, 이명","삼출성 중이염, 만성 중이염",이비인후과,32444
고산병,"말초부종, 탈수, 수면장애, 두통, 의식 변화, 식욕부진, 어지러움, 구토",폐부종,"가정의학과, 응급의학과",32327
고칼륨혈증,"심정지, 부정맥, 구토, 설사, 오심","화상, 신부전, 당뇨병","신장내과, 응급의학과, 소아신장과",32302
고칼슘혈증,"탈수, 변비, 의식 변화, 구토, 오심","폐암, 신부전, 백혈병, 다발골수종, 부갑상선기능항진증, 유방암, 부신 기능부전","내분비내과, 응급의학과",32301
고혈압,"피부 긴장도 저하, 어지러움, 두통, 가슴 두근거림","양성 종격동 종양, 악성 종격동 종양, 자발성 두개강 내 출혈, 뇌졸중, 망막 박리, 부신 종양, 신부전, 혈뇨, 임신성 고혈압, 급성 신부전, 만성 신부전, 뇌경색, 전이성 신장암, 자간증, 자간전증, 폐성 고혈압, 면역글로불린 A 신병증, 신우요관 폐색, 갈색세포종, 뇌하수체 기능 항진","가정의학과, 심장내과",31322
고환 여성화 증후군,"원형 및 타원형의 탈모, 자궁이 없음, 질은 없거나 짧은 맹관, 무월경",안드로겐 불감성 증후군,어린이병원,32034
고환 종양,"고환에 낭이 만져짐, 생식기 부종, 고환 불쾌감, 생식기 통증","생식선 및 생식 세포의 신생물, 잠복고환증","종양내과, 방사선종양학과, 비뇨의학과",32609
고환염,"생식기 부종, 탁한 소변, 열","혈관염, 비임균성 요도염, 임균성 요도염, 부고환염",비뇨의학과,32200
고환의 염전,"빈뇨, 오심, 골반 통증, 구토","부고환염, 고환염",비뇨의학과,32206
골관절염,"무릎 부위 부종, 관절 운동성 감소, 관절의 경직, 무릎 부위 통증, 관절통","소아 류마티스 관절염, 패혈성 관절염, 류마티스 관절염, 관절염","정형외과, 류마티스내과",30828
골괴사,"관절 운동성 감소, 병적골절, 환부 부종, 환부 통증",대퇴골두 무혈관성 괴사,정형외과,31720
골다공증,"척추 후만, 관절통, 신장 감소, 골절","다발골수종, 폐경, 쿠싱 증후군, 부신 종양, 병리적 골절, 폐경기 및 여성의 갱년기 상태, 부갑상선기능항진증","가정의학과, 내분비내과, 노년내과, 정형외과",31611
골반 염증성 질환,"복부 통증, 골반 통증, 비정상적 질 분비물, 악취, 열","난소, 난관 이상, 여성 불임, 임질",산부인과,31825
골수염,"열감, 열, 피부 긴장도 저하, 환부 부종, 권태감, 식욕부진, 두통","척추 골수염, 결핵성 골수염",감염내과,31718
골수증식종양,"멍, 말초 통증, 말초의 허혈, 출혈 경향성, 소양감, 안면홍조, 혈전증, 빈혈, 비장비대","혈소판 이상, 골수섬유증, 신생아 다혈구증","혈액내과, 소아청소년종양혈액과",31796
골육종,"덩어리가 만져짐, 뼈의 통증, 환부 통증",뼈의 신생물,"종양내과, 방사선종양학과, 소아청소년종양혈액과, 정형외과",31706
"골절 후 부정 유합, 불유합","뼈의 변형, 손상 부위 통증, 발적, 다리변형","피로 골절, 대퇴 골절, 팔죽지 골절, 원위 요골과 척골 골절, 경골과 비골 골절, 천추골 골절",정형외과,31573
골형성부전증,"얼굴형태의 이상, 목소리 변화, 근긴장의 이상, 청력장애, 멍, 발한","파이퍼 증후군, 스티클러 증후군, 연골무형성증, 니스트 이형성증, 연골형성저하증, 저인산증, 크루존 증후군, 에이퍼트 증후군","의학유전학센터, 의학유전학과",32399
곰팡이 감염,"피부 각질, 손 발톱이 갈라짐, 피부소양감, 발가락 사이 갈라짐","조갑백선, 무좀, 진균성 각막 궤양, 어린선",피부과,31546
공기가슴증(기흉),"호흡곤란, 가슴 통증","만성 폐쇄성 폐질환, 폐기종","호흡기내과, 심장혈관흉부외과",30455
공황 장애,"오심, 손떨림, 오한, 온몸이 떨림, 가슴 통증, 감각 이상, 발한, 숨막히는 느낌, 어지러움, 죽음에 대한 공포, 얼굴이 화끈거림, 가슴 두근거림, 가슴 답답","불안 장애, 부정맥, 갑상선기능항진증, 심계항진",정신건강의학과,31583
과다월경,"빈혈, 어지러움","여성 불임, 자궁내막 이상증식증, 폰빌레브란트병, 면역혈소판감소증, 자궁내막암, 자궁의 평활근종, 자궁선근증, 자궁내막 용종",산부인과,31960
과립막 세포종,"복부 통증, 무월경, 생식기 출혈, 성조숙증, 복수, 비정상적 질출혈, 덩어리가 만져짐","난소, 난관 이상, 생식선 및 생식 세포의 신생물, 난소의 양성 종양, 난소암",산부인과,33380
"과숙아, 만기 후 출산아","창백, 태아 심박동수 이상","난산, 신생아 가사","신생아과, 어린이병원",32614
과오종,암 부위별로 다름,"간 혈관종, 위용종, 대장 용종",종양내과,32456
과호흡 증후군,"복부팽만감, 흉부압박감, 불안, 복부 통증, 부정맥, 의식 변화, 호흡곤란, 인지장애, 가슴 두근거림","대사성 산증, 패혈증, 저체온증, 호흡성 알칼리증, 천식, 불안 장애","호흡기내과, 응급의학과, 정신건강의학과",31694
관절염,"발적, 환부 부종, 뻣뻣함, 압통","슬개건염, 류마티스 관절염, 강직성 척추염, 골관절염, 패혈성 관절염, 슬관절 장애","재활의학과, 정형외과, 류마티스내과, 알레르기내과",31713
관절와순 파열,"어깨의 통증, 어깨 움직임의 제한, 어깨 잡음","회전근개 증후군, 재발성 견관절 전방 탈구, 동결견",정형외과,33889
광견병,"열, 뇌전증 발작, 호흡곤란, 근육강직, 두통, 뇌염증상, 혼수, 구토",길랑-바레 증후군,감염내과,31609
광선 각화증,"뿔 모양의 병변, 적색의 각질화된 피부","상피내 신생물, 악성 흑색종, 피부암",피부과,32478
광우병,"정신 지체, 이상행동, 기억장애, 치매","치매, 크로이츠펠트-야콥병","감염내과, 신경과, 신경외과",31632
광장공포증,"대인관계 어려움, 불안","불안 장애, 공황 장애",정신건강의학과,31893
괴혈병,"철결핍성 빈혈, 출혈 경향성, 뼈의 변형, 식욕부진, 기운없음, 권태감",구루병,가정의학과,32124
교모세포종,"오심, 두통, 구토, 뇌전증 발작","신경모세포종, 수두증, 양성 뇌종양, 뇌종양, 뇌신경 인플레, 원발성 중추신경계 림프종","종양내과, 방사선종양학과, 소아청소년종양혈액과, 신경외과, 소아신경외과",33625
구강암,"종양부위 부종, 치아 흔들림, 덩어리가 만져짐, 목의 통증, 구강궤양, 삼키기 곤란, 턱의 통증, 감각 이상, 목소리 변화",타액선암,"종양내과, 방사선종양학과, 이비인후과, 치과, 구강악안면외과",32564
구개열,"치아발달장애, 얼굴형태의 이상, 발음 이상, 청력장애, 수유 곤란","구순열, 급성 중이염",성형외과,31762
구루병,"림프 부종, 굽은 등, 발한, O자 다리, 다리변형, 뼈의 변형, 창백, 새가슴, 뼈의 기형",내반슬,"정형외과, 소아정형외과",31804
구순열,"입술 및 입천장의 기형, 수유 곤란, 얼굴형태의 이상, 치아발달장애, 발음 이상",구개열,성형외과,31761
구순염,"입 주변 부종, 소양감, 입술 갈라짐",구순포진,피부과,32151
구순포진,"소양감, 피부색 변화, 물집, 작열감","헤르페스 바이러스 감염, 대상포진 후 신경통, 대상포진, 아토피성 피부염","감염내과, 피부과",32160
구획 증후군,"무맥, 창백, 환부 통증, 마비","감염성 근육염, 동상, 경골과 비골 골절, 병리적 골절, 대퇴 골절, 원위 요골과 척골 골절, 팔죽지 골절, 피부근육염, 혈우병, 자간전증, 자간증",정형외과,31700
국소 다한증,"손 발,겨드랑이 발한, 겨드랑이 악취, 피부염증","접촉 피부염, 취한증",심장혈관흉부외과,32180
군발성 두통 증후군,"눈물흘림, 콧물, 눈의 통증, 코막힘","근육 긴장성 두통, 편두통",신경과,31870
궤양성 대장염,"열, 점액변, 변비, 빈혈, 혈변, 탈수, 체중감소, 설사, 복부 통증","위막성 대장염, 대장염, 자극성 장 증후군, 대장균 감염, 대장 용종, 크론병, 강직성 척추염, 관절염, 장출혈성 대장균 감염증",소화기내과,31691
귀두포피염,"고름, 배뇨곤란",포경,"비뇨의학과, 소아비뇨의학과",32182
규폐증,"운동 시 호흡곤란, 가래, 기침","폐 전이, 소세포성 폐암, 폐암, 비소세포성 폐암, 악성 중피종, 진폐증",호흡기내과,32181
근감소증,"하지의 근력약화, 보행이상, 근력 약화, 피로감","노화, 골다공증, 노쇠",노년내과,33924
근근막 통증 증후군,"압통, 근육통, 방사통","섬유근육통, 동결견",재활의학과,32148
근단 주위 농양,"치근단 부위 부종, 이가 시림, 두통, 잇몸염증, 열","급성 치수염, 치아 우식증[충치], 치은염, 치주 농양, 치근낭",치과,31550
근시,"두통, 시력 감소","망막 박리, 난시, 약시","안과, 소아안과",32230
근위축성 측색 경화증,"손 발 감각 저하, 피부 긴장도 저하, 언어장애, 삼키기 곤란, 근력 약화","운동신경 질환, 다발성 경화증",신경과,32523
근육 긴장성 두통,"두통, 압통","편두통, 군발성 두통 증후군",신경과,31881
근육긴장이상증,"언어장애, 근육경련, 근육강직, 근육의 뒤틀림, 눈꺼풀의 떨림, 삼키기 곤란, 사경, 근육긴장","뇌졸중, 헌팅톤 병, 윌슨병, 선천성 사경",신경과,31990
근육병,"관절 구축, 근육경련, 안검하수, 삼키기 곤란, 근력 약화, 척추 측만, 종아리 근육의 비대, 근위축, 호흡곤란","듀시엔형 근이영양증, 베커형 근이영양증, 안검하수",소아재활의학과,31853
금단 현상,"기운없음, 복시, 손떨림, 고혈압, 서맥, 우울, 저혈압, 환각, 두통, 불면증, 불안, 청색증, 환청","알코올 의존성, 불안 장애, 인터넷 중독, 불면증, 소화불량, 행동 및 충동 장애, 우울증",정신건강의학과,32654
급성 A형 간염,"진한 소변색, 구토, 황달, 감기 증상, 열, 설사, 오심, 권태감, 복부 통증, 식욕부진","급성 바이러스성 간염, 급성 B형 간염, 급성 C형 간염",소화기내과,31626
급성 B형 간염,"구토, 근육통, 진한 소변색, 설사, 황달, 열, 피부소양감, 권태감, 오심","간염, 만성 B형 간염, 간세포암","소화기내과, 간이식ㆍ간담도외과",32095
급성 C형 간염,"황달, 피부소양감, 복부 불편감, 진한 소변색, 식욕부진, 근육통, 피로감, 열감, 콧물","만성 C형 간염, 간염, 간세포암","소화기내과, 간이식ㆍ간담도외과, 소아소화기영양과",32096
급성 간질성 신염,"발진, 단백뇨, 혈뇨, 요통, 고혈압, 열, 관절통","고혈압, 사구체신염, 만성 신부전, 급성 신부전, 신부전",신장내과,31976
급성 관동맥 증후군,"방사통, 가슴 통증, 어지러움, 호흡곤란, 오심","죽상경화증, 당뇨병, 고콜레스테롤혈증, 고혈압, 급성 심근경색증, 불안정형 협심증, 협심증","심장내과, 심장혈관흉부외과",33602
급성 기관지염,"천명음, 호흡곤란, 기침, 가래","폐렴, 만성 기관지염, 편도선염, 결핵, 상기도 감염, 아데노이드의 비대를 동반한 편도의 비대, 인플루엔자, 폐결핵","호흡기내과, 이비인후과, 소아중환자과",31810
급성 담낭염,"오심, 구토, 복부 통증, 열","담낭암, 담석, 만성 담낭염","소화기내과, 간담도췌외과, 간이식ㆍ간담도외과",32091
